sentence	paragraph	quality_controlled
We focused our challenges around comba,ng misinforma,on during this emergency, as well as internet access and affordability.	We focused our challenges around comba,ng misinforma,on during this emergency, as well as internet access and affordability.	n
Stronger strategies for teaching and .	Stronger strategies for teaching and .	n
In the NFA 2010, fishmeal and fish oil production and trade, and of aquaculture, were included and the fish commodity extraction rates were revised to include species-specific extraction rates for all species.	In the NFA 2010, fishmeal and fish oil production and trade, and of aquaculture, were included and the fish commodity extraction rates were revised to include species-specific extraction rates for all species.	n
Environmental Science & Technology 32:184A-191A.	Hendrickson, C.T., A. Horvath, S. Joshi and L.B. Lave. 1998. Economic Input-Output models for environmental Life-Cycle assessment. Environmental Science & Technology 32:184A-191A.	n
While the shiftin the composition of the global health burden towards non-communicable diseases has been achieved in developed regions, communicable diseases, along with maternal, nutritional and neonatal conditions, continue to take a heavy toll in some developing regions, particularly sub-Saharan Africa, Oceania 1 WHO, 1946.	Development, understood as the development of health systems, but also of improved access to water, sanitation and transportation infrastructure, provides the overall context for the burden of disease. While the shiftin the composition of the global health burden towards non-communicable diseases has been achieved in developed regions, communicable diseases, along with maternal, nutritional and neonatal conditions, continue to take a heavy toll in some developing regions, particularly sub-Saharan Africa, Oceania 1 WHO, 1946. And Southern Asia. Universal health coverage, which refers to systems in which all people have access to adequate health care without financial hardship and in an equitable manner, has been instituted in only some developed countries.2 Its prioritization in developing regions is likely to be based on each country's epidemiological conditions, demographics, economic resources and current state of the health system.3 Biology determines the health needs and vulnerabilities specific to women and men. It is one of the main factors behind men's increased risk for a number of health problems, their higher mortality (starting from day one and extending throughout their lives), and their shorter life expectancy. However, medical and technological improvements over several decades are extending the lives of both men and women. In the case of women, maternal and reproductive health needs are increasingly being addressed through improved health systems and the delivery of services.4 For example, complete cover- 2 WHO and World Bank, 2014. 3 Boerma and others, 2014. 4 United Nations, 2014a.	n
IUCN defines this governance type as: protected areas where the management authority and responsibility rest with indigenous peoples and/or local communities through various forms of customary or legal, formal or informal, institutions and rules.	Type D: Governance by indigenous peoples and local communities. This type includes two main subsets: (1) indigenous peoples' areas and territories established and run by indigenous peoples and (2) community conserved areas established and run by local communities. The subsets, which may not be neatly separated, apply to both sedentary and mobile peoples and communities. IUCN defines this governance type as: protected areas where the management authority and responsibility rest with indigenous peoples and/or local communities through various forms of customary or legal, formal or informal, institutions and rules. These can be relatively complex. For instance, land and/or sea resources may be collectively owned and managed while other resources may be managed individually or on a clan basis. Different indigenous peoples or communities may be in charge of the same area at different times, or of different resources within the same area. Rules generally intertwine with cultural and spiritual values. The customary rules and organizations managing natural resources often possess no statutory legal recognition or sanctioning power. In other cases, however, indigenous peoples and/or local communities are fully recognised as the legitimate authority in charge of state-listed protected areas or have legal title to the land, water or resources. Whatever the structure, the governance arrangements require IUCN recognises four broad types of governance of protected areas, any of which can be associated with any management objective: A. Governance by government B. Shared governance C. Private governance D. Governance by indigenous peoples and local communities 3. Governance that the area under the control of indigenous peoples and/or local communities has identifiable institutions and regulations that are responsible for achieving the protected area objectives.	n
Several private-sector publications list and qualify international companies.	Several private-sector publications list and qualify international companies. There are also many directories devoted to specific regions and countries.	n
HPI expresses how many happy life-years are squeezed out of each hectare of Ecological Footprint.	The concept of gross national happiness, which the King of Bhutan coined in a 1972 interview, was scientifically developed further, made quantifiable, and supplemented with an index number for the sustainability of resource utilization. HPI expresses how many happy life-years are squeezed out of each hectare of Ecological Footprint. Therefore the HPI is calculated by dividing longevity, adjusted by average subjective, by Ecological Footprint per capita numbers.	n
The category list includes the following: Electronics / Healthcare / Grocery / Fashion / Apparel & Accessories / Home & Kitchen, etc. Also, it covers the most important services requested by the Ci,zens and residents of Qatar to prevent them from socializing during these events.	WSIS Stocktaking PlaLorm www.wsis.org/stocktaking WSIS Action Lines Sustainable Development Goals WSIS Action Lines Sustainable Development Goals e-commerce Directory Ministry of Transport and Communications Government, Qatar http://motc.gov.qa e-commerce Directory was found to provide an easy way for people in Qatar to reach their favorite shops or services easily via online throughout the current situa,on of COVID-19. It Facilitates the process of searching the retail stores or services by using clear and easy categorizing for the user. The category list includes the following: Electronics / Healthcare / Grocery / Fashion / Apparel & Accessories / Home & Kitchen, etc. Also, it covers the most important services requested by the Ci,zens and residents of Qatar to prevent them from socializing during these events.	n
In order to scale up these initiatives, however, results show that government policies and programmes are needed to improve market structure, public extension services and subsidies, and access to credit and loans for alternative crops (67).	Crop substitution programmes While anecdotal evidence supports the finding that tobacco could be substituted with other crops that may be equally profitable, a systematic analysis of this issue is needed. A natural starting point would be a thorough and comprehensive analysis of the effects of removing farmers from tobacco production altogether on economic variables such as employment, skills, output, wages etc. Recent research has shown that smallholder farmers are receptive to shifting out of tobacco production when conditions allow. In order to scale up these initiatives, however, results show that government policies and programmes are needed to improve market structure, public extension services and subsidies, and access to credit and loans for alternative crops (67). Tobacco farmers, like most smallholder farmers in low-and middle-income countries, need policy reforms that put agricultural development at the centre of public services (215). Recognizing that such policy reforms can take time, and that growing tobacco undermines the economic growth and human and environmental health of farming communities, the development of government programmes designed specifically for the transition of tobacco farmers to alternative sustainable livelihoods are desirable in the immediate term.	n
It is divided into two branches (scientific and literary) beginning with the second year of preparatory education, during which students pursue academic studies in the sciences or humanities.	System of education: http://www.classbase.com/Countries/Iran/Education-System http://www.ibe.unesco.org/fileadmin/user_upload/Publications/WDE/2010/pdf-versions/Islamic_Republic_of_Iran.pdf Iraq diploma awarded sixth form Baccalaureat (Adadiyah) or Certificate of Preparatory Studies Vocational Baccalaureat School year September-June compulsory education ages 5-11 grades 1-5 educational system U.S. equivalent Pre-School - 2 years (ages 4-5) Kindergarten i 1st ii 2nd iii 3rd iv 4th v 5th vi - : Primary Baccalaureat or Certificate of Primary Studies 6th Intermediate Secondary School - form i 7th Form ii 8th Form iii - Intermediate or Vocational Secondary School 9th Preparatory Secondary School - Form iv 10th Form v 11th Form vi/ Vocational Baccalaureat (Adadiyah)Certificate of Preparatory Studies 12th - Standard High School diploma grading scale U.S. equivalent 90 - 100%      /       (Excellent a+ 80 - 89           (very good) a 70 - 79     (good) a 60-69      (medium) B 50-59      (pass) C 0-49      (fail) F grading remarks Note: The final intermediate stage examination is graded on a percentage scale. The student is required to obtain at least 50 percent to pass a subject. 50 - 100 Passing = Pass 0 -49 Failing = Fail Country Notes Pre-school education in Iraq is of two-years duration and is open to children 4 years old. Primary education lasts six years and is compulsory through age 11. Secondary education lasts six years and is completed in two stages: Intermediate and Preparatory. Intermediate education lasts three years for students aged 12 to 14 years. Preparatory education also lasts three years and is designed to prepare students for the labor market or university study. It is divided into two branches (scientific and literary) beginning with the second year of preparatory education, during which students pursue academic studies in the sciences or humanities. In addition, there is also a six or three-year (depending on the point of entry) vocational preparatory stream of education, which covers industrial, agricultural and commercial branches. Vocational preparatory education is designed to prepare students for work in the professions or for university study.	n
Future Agricultures consortium, Africa.	Roberts, e., S. Andrei, S. Huq, and L. Flint. 2015. Resilience synergies in the post-2015 development agenda. Nature Climate Change 5(12):1024-1025. Http://dx.doi.org/10.1038/nclimate2776 Robinson, L. W., P. J. Ericksen, S. Chesterman, and J. S. Worden. 2015. Sustainable intensification in drylands: what resilience and vulnerability can tell us. Agricultural Systems 135:133-140. HTTP:// dx.doi.org/10.1016/j.agsy.2015.01.005 Rufino, M. C., P. K. Thornton, S. K. Ng'ang'a, i. Mutie, P. G. Jones, m. T. Van Wijk, and M. Herrero. 2013. Transitions in agropastoralist systems of East Africa: impacts on food security and poverty. Agriculture, Ecosystems and environment 179:215-230. Http://dx.doi.org/10.1016/j.agee.2013.08.019 Sabates-Wheeler, R., and S. Devereux. 2011. Transforming livelihoods for resilient futures: how to facilitate graduation in social protection programmes. Working paper 023. Future Agricultures consortium, Africa.	n
More concerning was the enactment of a law on interior security that would enable the prolonged presence of the armed forces in regular policing functions, a strategy that has been linked to an increase in human rights violations.	"Mexico's human rights crisis continued, exacerbated by increases in violence and homicides, including a record number of killings of journalists. Arbitrary arrests and detentions remained widespread - often leading to further human rights violations, most of which were not properly investigated. More than 34,000 people remained subject to enforced disappearance, and extrajudicial executions were rife. Torture and other ill-treatment continued to be widespread and were committed with impunity by the security forces, with people routinely forced to sign false ""confessions"". However, the Senate's approval of a new law on enforced disappearances - following a national public outcry over the case of 43 forcibly disappeared students whose fate and whereabouts remained undisclosed - was a potential step forward, although its eventual implementation will require serious political commitment to ensure justice, truth and reparations. Congress also finally passed a new general law on torture. More concerning was the enactment of a law on interior security that would enable the prolonged presence of the armed forces in regular policing functions, a strategy that has been linked to an increase in human rights violations."	n
International Economic Review 52 (2): 573-602.  International Economic Review 52 ( 2 ) : 573-602 .		n
Annex plan of action for the elimination of harmful traditional practices affecting the health of women and children a/ _______ A/ prepared by the Second United Nations Regional Seminar on traditional practices affecting the health of women and children, held at Colombo, Sri Lanka, from 4 to 8 July 1994 (E/CN.4/Sub.2/1994/10/ADD.1 and Corr.	Annex plan of action for the elimination of harmful traditional practices affecting the health of women and children a/ _______ A/ prepared by the Second United Nations Regional Seminar on traditional practices affecting the health of women and children, held at Colombo, Sri Lanka, from 4 to 8 July 1994 (E/CN.4/Sub.2/1994/10/ADD.1 and Corr. 1); adopted by the Sub-Commission on Prevention of Discrimination and Protection of Minorities in its resolution 1994/30 of 26 August 1994 (para. 3).	n
They also make the case for boosting investment in education.	Breaking with economic orthodoxy, Glaeser and Summers say that the federal government should tailor proemployment measures, such as reducing the payroll tax or increasing tax credits to low earners, to fit the needs of economically distressed areas such as West Virginia. They also make the case for boosting investment in education.	n
Mwasalwiba, e., Dahles, H. & Wakkee, i. 2012.	Mwasalwiba, e., Dahles, H. & Wakkee, i. 2012. Graduate entrepreneurship in Tanzania: Contextual enablers and hindrances. European Journal of Scientific Research, 76, 386-402.	n
Another option is for specific Project Team to include a sociologist and an economist in its multi-disciplinary team (i.e., UGA11).	Data analysis and reporting for the impact assessment of training in Thailand should be completed. The report should be disseminate all Peanut CRSP Principal Investigators so all projects with training components could learn lessons on evaluating training courses and their impact on the overall effort by Peanut CRSP and the Host Country institutions. Analysis of the data sets from the Philippine impact study should be completed and facilitate preparation of joint papers for publication in refereed journals. Transfer the impact assessment and case study methodologies, including samples of survey instruments, to other Peanut CRSP projects in other regions, using the experiences in the Philippines and Thailand. Instead of implementing a stand alone socio-economic study, such as NCSO7, the Peanut CRSP Management Entity should consider integrating the social and economic aspects into all Peanut CRSP projects in the next phase. The NCSU Project Team could collaborate with other Principal Investigators to do this. Another option is for specific Project Team to include a sociologist and an economist in its multi-disciplinary team (i.e., UGA11). The trend should be to build multi-disciplinary teams within an implementing university or within an inter-university team (i.e., UFL16). The role of socio-economic teams, such as in NCS07, would be to carry out pre-test and post-test types of project impact evaluation. A cluster approach to a group of projects in a Region could include a project such as NCS07 to carry out this work.	n
It guides them whether to stay at home in quarantine, establishes/schedule communication with one of the specialized medical institutions, or refer them urgently to the nearest medical institution, if needed.	Infected person and quarantined individuals through a medical algorithm that can analyze an individual's condition through questions. It guides them whether to stay at home in quarantine, establishes/schedule communication with one of the specialized medical institutions, or refer them urgently to the nearest medical institution, if needed. The system is used during primary infection indicators by spotting only the cases that require medical care and directing them to medical institutions. So, it supports the overall medical system by minimizing and scheduling visits to medical institutions, focusing only on cases that need a medical examination.	n
Iten, A.E., E.A.	"Iten, A.E., E.A. Jacobs, M. Lahiff and A. Fernandez 2014 Undocumented immigration status and diabetes care among Mexican immigrants in two immigration ""sanctuary"" areas. Journal of Immigrant and Minority Health, 16(2):229-238."	n
Washington, DC: Global Campaign for Education, 2018.	GCE (Global Campaign for Education). A view from the Civil Society Education Fund's engagement in local education sector planning groups. Washington, DC: Global Campaign for Education, 2018. https://www. campaignforeducation.org/en/2018/01/19/civil-society-education-fund/.	n
However, the absence of a viable industrial base limits opportunity, and most investment is currently focused on construction and infrastructure development.	"High level of investment from UK, Germany, South Africa Germany was the largest country in terms of FDI into Rwanda in 2008 according to the OECD, with almost 3% of the total. However, there was also substantial undisclosed investment from the UK. Recent developments are encouraging: South African construction firm MKP South Africa, through parent company MKP Capital Investment, has pledged a grant of US$6 billion to the Rwandan Government in the form of a long-term infrastructure development deal. !"")!! !$""!! !)()!! !))(!! !))_!! ""((+! ""((%! ""((&! ""((,! ""((_! Foreign direct investment (FDI) inflow (2005-2009) - US$ million English language quantitative indicators ! Euromonitor International Page 69 The country has a large proportion of undisclosed investment, representing over 95% of the total. This high percentage is due to direct company investment, (company to company) or private investment. However, the absence of a viable industrial base limits opportunity, and most investment is currently focused on construction and infrastructure development. Smaller agricultural products have attracted some attention., Rwandan coffee, for example is considered to be among the best in the world, but this is insufficient to attract large-scale development."	n
OPHI Working Paper 58 www.ophi.org.uk 3 This technical paper was written by researchers from the International Food Policy Research Institute (IFPRI) and the Oxford Poverty and Human Development Initiative (OPHI) to document the piloting and development of the WEAI so that researchers and practitioners seeking to use the index in their own work would understand how the survey questionnaires were developed and piloted, how the qualitative case studies were undertaken, how the index was constructed, how various indicators were validated, and how it can be used in other settings.	OPHI Working Paper 58 www.ophi.org.uk 3 This technical paper was written by researchers from the International Food Policy Research Institute (IFPRI) and the Oxford Poverty and Human Development Initiative (OPHI) to document the piloting and development of the WEAI so that researchers and practitioners seeking to use the index in their own work would understand how the survey questionnaires were developed and piloted, how the qualitative case studies were undertaken, how the index was constructed, how various indicators were validated, and how it can be used in other settings. The index evolved in late 2010 and early 2011 out of discussions among US government agencies involved in the Feed the Future Initiative regarding the need for an indicator to monitor women's empowerment. The discussions initially revolved around using a gender perceptions index but eventually focused on an index similar to the multidimensional poverty indexes being developed by OPHI. Following the definition of 5DE in agriculture by the United States Agency for International Development (USAID), work began at IFPRI in June-July 2011 to develop questionnaire modules that could be used to elicit responses on each of these domains. The full survey--with household and individual questionnaires, administered to a primary male and a primary female respondent in each household 4 --was piloted from September to November 2011 in Feed the Future zones of influence in Bangladesh, Guatemala, and Uganda. Index development took place from November 2011 to January 2012. Qualitative interviews and case studies with individuals, as well as a technical consultation with outside experts in January 2012, provided further input into the choice of indicators that comprise the index. The WEAI itself was launched on February 28, 2012, at the 56th session of the Committee on the Status of Women at the United Nations, New York, and subsequently in three separate presentations in March in London, New Delhi, and Washington, DC.	n
The project team consists of specialists in programming and IT, management, marke1ng, and pedagogy.	Not all parents have good digital skills, so they can't always help their children with online learning. We help children to master technology through remote support. The sustainability of the project is due to several factors: 1. Shortage of qualified IT specialists in many countries of the world, which indicates the demand for high-quality specialized educa1on now and in the future; 2. Stable demand for high-quality services for the addi1onal development of children in the field of digital technologies: According to the company's own marke1ng research, the number of children in the world who regularly ahend training centers in the field of digital technologies is growing by about 6-10% annually; 3. Addi1onal fullfledged educa1on in the format of an IT school. The project program implies long-term comprehensive training, which is designed for a period of up to 9 years and can take place in parallel with the basic educa1on and in addi1on to it; 4. Team of qualified specialists involved in the implementa1on of the project. The project team consists of specialists in programming and IT, management, marke1ng, and pedagogy. The total number of employees and developers is about 100 people; 5. Constant adjustment and upda1ng of the training program through the introduc1on of modern educa1onal modules, relevant training plaKorms, as well as interes1ng and non-standard tasks and projects for selfimplementa1on;6. Sources of stable financial flows: The volume of financial revenues of the company is formed through three permanent channels: training in its own divisions, the implementa1on of franchises (lump-sum contribu1ons), and regular payments by exis1ng franchisees (royal1es); 7. The possibility of replica1on of the project in any locality (popula1on size does not maher);8. The project's target audience is children and adolescents aged 6-14 (children at this age are especially suscep1ble to new knowledge, are interested in modern technologies, and ac1vely use gadgets, but use them mainly for entertainment) and their parents (they care about quality educa1on of their children, and precisely at the age of 6-14 invest the core capital in their development).	n
The following are general qualification conditions for the incentives for the manufacturing industry: * An investment at least CZK100 million must be in long-term tangible and intangible assets.	Manufacturing industry. The following are general qualification conditions for the incentives for the manufacturing industry: * An investment at least CZK100 million must be in long-term tangible and intangible assets. The CZK100 million requirement may be reduced to CZK50 million in selected regions. cz E c h rE p u b l i c 429 * The investment must be in a manufacturing sector, and at least 50% of the total investment must be invested in qualifying production machinery. Machinery must be acquired at an arm's-length price. It must have been produced no more than two years before the acquisition and must not have been previously subject to tax depreciation. * Qualifying intangible assets must be acquired from unrelated third parties for arm's-length prices. * The investment must be realized in the Czech Republic outside Prague with higher value added. To satisfy this requirement, for investment in manufacturing, the support recipient must have executed employment agreements for salaries amounting to at least the average wage in the given region with 80% of the employees who are working in the place in which the investment is being made, and one of the following conditions must also be met: --At least 10% of employees must be university-educated and a contract for research and development (R&D) cooperation must have been executed with a research organization or university. --At least 2% of employees must be working in R&D. --The acquisition of machinery and equipment used in R&D on top of eligible costs should represent at least 10% of the total eligible costs (machinery and equipment used in R&D cannot be included in eligible costs).	n
Training of such interpreters to ensure an ethical and professional approach to medical consultations was also highlighted.	"A systematic literature review of reported challenges in health-care delivery to migrants and refugees in highincome countries identified three main topics of challenges in health-care delivery: communication, continuity of care and confidence.23 Communication is critical for obvious diagnostic and treatment trajectories. The availability of trained interpreters from migrant communities was described as a key aspect in providing migrant-sensitive care. Training of such interpreters to ensure an ethical and professional approach to medical consultations was also highlighted. Continuity of care related to factors such as migrant understanding of the health-care system, integration and case management across different parts of the health-care system. Confidence was the third most common topic mentioned and related to trust in the health-care provider, ensuring cultural sensitivity in care provision and the ability to have agency. Studies indicated that, in cases where no trustful relationship was established, patients resorted to using traditional medicine and trusted ""their own resources"" from their community for treatment. Conversely, a systematic review that investigated the perceptions, attitudes and practices of health providers in the provision of health-care services for migrants found they were challenged not only by language and cultural barriers, but also by resource constraints within their workplaces, and incoherence between professional ethics and domestic laws that limited migrants' right to health care.24 Health-care providers used innovative means to ensure care provision in managing such clinical cases with civil society groups."	n
Ancestral midwives in Ecuador may refer patients for additional medical care, diagnose patients, and prescribe medicinal plants and natural remedies.	Practice Although there is limited availability of data within the nursing profession across South America, authorized practice seems to vary depending on nurse type. In Argentina, nurses and licensed nurses both have prescriptive authority and may prescribe any medications. However, neither may refer patients for additional care, nor may they diagnose patients. In Peru, a nurse has a duty to administer healthcare in an emergent situation and, because of this, nurse specialists and general nurses may prescribe medication or refer patients for additional medical care. Both nurse types may diagnose patients. Ancestral midwives in Ecuador may refer patients for additional medical care, diagnose patients, and prescribe medicinal plants and natural remedies. In Brazil, nurses and advanced or specialized nurses possess authority to offer a nursing diagnosis. In addition, these types of nurses may prescribe medications according to protocols, clinical and therapeutic guidelines, or other technical regulations established by the federal, state, or municipal authorities. These protocols and guidelines are subject to the legal provisions of the profession. Prescriptive authority granted to nurses and advanced or specialized nurses is regarding medications previously established in each respective public health program and those routinely approved by each health institution. Nurses and advanced or specialized nurses, however, do not have the autonomy to request examinations and prescribe medications in isolated private practices. These types of nurses must be working within a health team in order to prescribe, diagnose, or refer and request examinations.	n
Oxford Policy Management, Oxford, Https://maintainsprogramme.org/rc/working-paper-what-is-a-shock-responsive-health-system/ (C) maintains 12 .	Health is a primary entry point for Maintains shock-responsive research and Maintains will continue to develop the conceptual framework for a shock-responsive health system that underpins this work.4 In Ethiopia, Maintains is researching how community-based health workers can support preparedness and strengthen shock responses; in Kenya, Uganda, Pakistan, and Sierra Leone, Maintains is seeking to explore in detail how health systems can better respond to shocks, looking at early warning systems, financing, and the provision of existing services alongside shock scale-up. 4 Newton-Lewis, T., Witter, s., Fortnam, m., Seal, a., Hailey, P., Nair, R., and Hillier, D. (2020) 'what is a shockresponsive health system?' maintains working paper. Oxford Policy Management, Oxford, Https://maintainsprogramme.org/rc/working-paper-what-is-a-shock-responsive-health-system/ (C) maintains 12 .	n
Kobus Blignaut AttorneY Stan Bridgens South AfrIcA InstItute of electrIcAl enGIneers Philippa Bruyns GlYn mArAIs Jeff Buckland hoGAn Lovells Ian Burger novAleGAl Mike Cary netActIve Zamadeyi Cebisa weBBer Wentzel Vivien Chaplin hoGAn Lovells Brendon Christian BusIness lAw BC Saskia Cole kIpd Haydn Davies weBBer Wentzel Gretchen de Smit ensAfrIcA Lauren Fine Norton Rose fulBrIGht South AfrIcA Monica Fourie GlYn mArAIs Brian Frank GlYn mArAIs Catherine Grainger Gwe ArchItecture Daneille Halters trAnsunIon Cynthia Hlongwane trAnsGloBAl Ricky Infant GIurIcIch 289acknowledgments Timothy Johnson sAGe ArchItects Jonathan Jones Norton Rose fulBrIGht South AfrIcA Raoul Kissun Norton Rose fulBrIGht South AfrIcA Tiaan Klaassens wInGmAn AccountInG Carlize Knoesen depArtment of rurAl Development and lAnd Reform Lisa Koenig trAnsunIon Jeffrey Kron Norton Rose fulBrIGht South AfrIcA Johnathan Leibbrandt weBBer Wentzel Eric Levenstein werksmAns Inc.	Kobus Blignaut AttorneY Stan Bridgens South AfrIcA InstItute of electrIcAl enGIneers Philippa Bruyns GlYn mArAIs Jeff Buckland hoGAn Lovells Ian Burger novAleGAl Mike Cary netActIve Zamadeyi Cebisa weBBer Wentzel Vivien Chaplin hoGAn Lovells Brendon Christian BusIness lAw BC Saskia Cole kIpd Haydn Davies weBBer Wentzel Gretchen de Smit ensAfrIcA Lauren Fine Norton Rose fulBrIGht South AfrIcA Monica Fourie GlYn mArAIs Brian Frank GlYn mArAIs Catherine Grainger Gwe ArchItecture Daneille Halters trAnsunIon Cynthia Hlongwane trAnsGloBAl Ricky Infant GIurIcIch 289acknowledgments Timothy Johnson sAGe ArchItects Jonathan Jones Norton Rose fulBrIGht South AfrIcA Raoul Kissun Norton Rose fulBrIGht South AfrIcA Tiaan Klaassens wInGmAn AccountInG Carlize Knoesen depArtment of rurAl Development and lAnd Reform Lisa Koenig trAnsunIon Jeffrey Kron Norton Rose fulBrIGht South AfrIcA Johnathan Leibbrandt weBBer Wentzel Eric Levenstein werksmAns Inc.	n
"For example, a refrigerator and be either allocated to the category ""food"" or the category ""consumption of goods and services"" but also to the category ""dwelling""."	"The total Footprint can be allocated to the following consumption components: food, shelter, mobility, goods, and services. To avoid double counting, all consumption goods are assigned to only one consumption category. For example, a refrigerator and be either allocated to the category ""food"" or the category ""consumption of goods and services"" but also to the category ""dwelling"". consumption and land use matrix Part 7 Appendix - Specific Footprint terminology ."	n
Partnership with the Ministry of Health, Ministry of Trade, and the Ugandan Board of Standards is required to tackle the health, trade, and related issues in a coherent manner.	Makerere University professor of Animal Science (Dr. Connie Kyalisiima) has proposed to carry out research in managing aflatoxin using Bentonite clay in animal feeds in Uganda, to be funded by NORAD (Norway) and in collaboration from Peanut CRSP. Experience working on gender issues in Peanut CRSP research in a host country like Uganda would provide strategies of mainstreaming gender in peanut research that Peanut CRSP could use in its work in developing countries. In the future, Peanut CRSP projects should include in their design strategies to ensure that women and children, who are usually disadvantaged groups in rural farming areas, would benefit directly from new technological interventions (i.e., resistant peanut varieties, aflatoxin-free peanut products, etc.) by Peanut CRSP. The ongoing work in aflatoxin in peanut in Uganda/region is linked with the HIV/AIDS and other illnesses. Possible solution to the aflatoxin problem (i.e., use of Bentonite clay), has implications to people's health. Work on health issues would require critical participation of the Ugandan Ministry of Health and trained village health workers, an area where Peanut CRSP is not a traditional player. Partnership with the Ministry of Health, Ministry of Trade, and the Ugandan Board of Standards is required to tackle the health, trade, and related issues in a coherent manner.	n
Very good infrastructure and a fairly skilled workforce helped as well.	European integration, the economy successfully restructured its export sector to access EU markets. Very good infrastructure and a fairly skilled workforce helped as well. This dynamism, requiring the use of more advanced production and management techniques in modern sectors, was especially well-suited for youth. While the story is a good one in many ways, further policy reforms could help Slovenia realize more of the development payoffs that flow from jobs for young people. Some of these reforms are in the labor market, such as removing the incentives created by employment protection laws that tilt job creation for youth toward contract and temporary work. But others are outside the labor market, such as introducing measures to encourage more FDI.81 Connected jobs agendas: Global partnerships for jobs Policies for jobs in one country can have spillovers on other countries, both positive and negative. An important issue is whether international coordination mechanisms could influence the decisions that governments make, enhancing the positive spillovers and mitigating the negative ones. Several areas lend themselves to coordination. Promoting compliance with rights and labor standards, a global public good, is the most obvious one, but the effectiveness of the mechanisms for doing so is limited. Measures to facilitate FDI flows, especially in services, would have substantial effects on productivity in developing countries but they may also have social implications. Migration has impacts on both sending and recipient countries, suggesting that bilateral agreements could lead to better outcomes for both parties.	n
Political, legal and regulatory institutions; and 5.	We have also sought to address this issue through the PwC ESCAPE Index20, which was first launched in February 2014 and has since been updated for this report. This aims to provide a holistic view of the performance of 42 of the largest advanced and emerging economies since 2000. The index combines 20 key indicators across five dimensions: 1. Economic growth and stability; 2. Social progress and cohesion; 3. Communications Technology; 4. Political, legal and regulatory institutions; and 5. Environmental sustainability. 19 PwC's Country Risk Premium (CRP) analysis covers 187 sovereign nations using an economic model that PwC have developed since 1998. PwC's model uses a range of inputs in generating CRPs, including reliable sources of credit and risk ratings and sovereign bond information. The CRPs are updated on a quarterly basis. For more information, please visit http://www.pwc.co.uk/theeconomy/issues/country-risk-premia-quarterly-update.jhtml for our latest CRP update. 20 For more details of our ESCAPE index see: http://www.pwc.co.uk/economic-services/issues/escape-index-mapping-how-marketsemerge.jhtml .	n
In tertiary education, a clear trend is emerging that favours women--with enrolments increasing faster for women than for men.	Education is a core human right1 and an essential tool for achieving sustainable development.2 It is an investment in human capital that confers benefits to both individuals and societies, allowing them to reach their fullest potential. Education is indispensable for closing the gap between women and men in respect to social and economic opportunities and is a key to empowering women and allowing them to become agents of change in economic, social and political spheres. It also improves women's chances of leading a healthy life and passing on the benefits to future generations.3 This chapter presents evidence-based analysis of progress in the education of girls and boys, and women and men, over the period 1990 -2012. Overall, the data show remarkable progress 1 United Nations General Assembly, Universal Declaration of Human Rights, 10 December 1948. 2 United Nations, 1994. 3 UNESCO, 2014. in participation in education and literacy levels. Substantial progress has been made in the achievement of universal primary education, and girls and boys around the world participate equally in primary education in most regions of the world. While the overall progress in secondary education is encouraging, it lags behind primary education. In addition, gender disparities are wider and occur in more countries at the secondary than at the primary level. Among positive global trends, the evidence shows that, girls--once they have access to school--tend to do better than boys in terms of progression at the primary and secondary levels and beyond. In tertiary education, a clear trend is emerging that favours women--with enrolments increasing faster for women than for men. However, gender disparities persist in the fields in which men and women choose to study. Women continue to be underrepresented among graduates in the fields of science and engineering in most countries.	n
Resourcerich countries need to diversify their exports, so that jobs are connected to global markets rather than supported through government transfers.	Which jobs have the greatest development payoffs depends on the circumstances. Countries differ in their level of development, demography, endowments, and institutions. Agrarian socie ties face the challenge of making agricultural jobs more productive and creating job opportunities outside farms. Resourcerich countries need to diversify their exports, so that jobs are connected to global markets rather than supported through government transfers. Formalizing countries need to design their social protection systems in ways that extend their coverage without penalizing employment.	n
