-DOCSTART- -X- -X- O
thlàth tlàth Case=Nom|Gender=Fem|Number=Sing ADJ
air air _ ADP
gualainn gualainn Case=Dat|Gender=Fem|Number=Sing NOUN
an an Case=Gen|Gender=Masc|Number=Sing DET
eich each Case=Gen|Gender=Masc|Number=Sing NOUN
. . _ PUNCT

Rug beir Tense=Past VERB
ise i Gender=Fem|Number=Sing|Person=3|PronType=Emp PRON
air air _ ADP
làimh làimh Case=Dat|Gender=Fem|Number=Sing NOUN
air air Gender=Masc|Number=Sing|Person=3 ADP
, , _ PUNCT
chrom crom Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
sìos sìos _ ADV
is is _ CCONJ
chuir cuir Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
a a Gender=Fem|Number=Sing|Person=3 DET
bilean bile Case=Nom|Gender=Fem|Number=Plur NOUN
air air _ ADP
a a Gender=Masc|Number=Sing|Person=3 DET
mhala mala Case=Dat|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
rinn dèan Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
gàire gàire Case=Nom|Gender=Masc|Number=Sing NOUN
mear mear Case=Nom|Gender=Masc|Number=Sing ADJ
is is _ CCONJ
thug toir Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
tarraing tarraing Case=Nom|Gender=Fem|Number=Sing NOUN
air air _ ADP
an an Gender=Fem|Number=Sing DET
t-srian srian Case=Dat|Gender=Fem|Number=Sing NOUN
, , _ PUNCT
is is _ CCONJ
bha bi Tense=Past VERB
i i Gender=Fem|Number=Sing|Person=3 PRON
air air _ ADV
falbh falbh _ ADV
. . _ PUNCT

Na an _ ADP
bhois bois Case=Dat|Gender=Fem|Number=Sing NOUN
bha bi Tense=Past VERB
fàinne fàinne Case=Nom|Gender=Masc|Number=Sing NOUN
a' ag _ PART
priobadh priob VerbForm=Vnoun NOUN
gu gu PartType=Ad PART
fuar fuar _ ADV
. . _ PUNCT

Choisich coisich Tense=Past VERB
e e Gender=Masc|Number=Sing|Person=3 PRON
dhachaigh dhachaigh _ ADV
air air _ ADP
a a Gender=Masc|Number=Sing|Person=3 DET
shocair socair Case=Dat|Gender=Fem|Number=Sing NOUN
. . _ PUNCT
